coin,market_slug,source_files,side,status,trigger_ts,entry_ts,exit_ts,elapsed_seconds,remaining_seconds,old_price,trigger_price,entry_mid_price,entry_fill_price,entry_limit_price,exit_mid_price,exit_fill_price,exit_limit_price,shares,gross_pnl,hold_seconds,exit_reason
BTC,btc-updown-15m-1775051100,run1_btc_hedge_orderbook.csv,up,resolved,1775051969.881,1775051969.881,1775051971.39,870.0,30.0,0.88,0.395,0.395,0.41,0.41500000000000004,0.345,0.34,0.32499999999999996,12.658227848101266,-0.886075949367088,1.5090000629425049,stop_loss
BTC,btc-updown-15m-1775051100,run1_btc_hedge_orderbook.csv,up,resolved,1775051971.392,1775051971.392,1775051972.385,872.0,28.0,0.855,0.345,0.345,0.35,0.365,0.295,0.29,0.27499999999999997,14.492753623188406,-0.8695652173913043,0.9930000305175781,stop_loss
BTC,btc-updown-15m-1775051100,run1_btc_hedge_orderbook.csv,up,resolved,1775051972.386,1775051972.386,1775051981.642,873.0,27.0,0.855,0.295,0.295,0.3,0.315,0.24,0.22,0.22,16.949152542372882,-1.3559322033898304,9.25600004196167,stop_loss
BTC,btc-updown-15m-1775051100,run1_btc_hedge_orderbook.csv,down,resolved,1775052000.908,1775052000.908,1775052001.57,900.0,0.0,0.825,0.065,0.065,0.08,0.085,0.99,0.99,0.97,76.92307692307692,70.0,0.6619999408721924,take_profit
BTC,btc-updown-15m-1775057400,run1_btc_hedge_orderbook.csv,down,resolved,1775058253.307,1775058253.307,1775058265.817,854.0,46.0,0.365,0.065,0.065,0.07,0.085,0.165,0.15,0.14500000000000002,76.92307692307692,6.153846153846152,12.509999990463257,take_profit
BTC,btc-updown-15m-1775097000,run1_btc_hedge_orderbook.csv,up,resolved,1775097797.334,1775097797.334,1775097800.969,798.0,102.0,0.725,0.425,0.425,0.43,0.445,0.375,0.37,0.355,11.764705882352942,-0.7058823529411765,3.634999990463257,stop_loss
BTC,btc-updown-15m-1775097000,run1_btc_hedge_orderbook.csv,up,resolved,1775097800.97,1775097800.97,1775097802.479,801.0,99.0,0.725,0.375,0.375,0.38,0.395,0.32,0.31,0.3,13.333333333333334,-0.9333333333333335,1.5090000629425049,stop_loss
BTC,btc-updown-15m-1775097000,run1_btc_hedge_orderbook.csv,up,resolved,1775097802.48,1775097802.48,1775097802.768,803.0,97.0,0.725,0.32,0.32,0.33,0.34,0.205,0.2,0.185,15.625,-2.03125,0.28799986839294434,stop_loss
BTC,btc-updown-15m-1775097000,run1_btc_hedge_orderbook.csv,up,resolved,1775097802.769,1775097802.769,1775097804.108,803.0,97.0,0.675,0.205,0.205,0.21,0.22499999999999998,0.125,0.12,0.105,24.390243902439025,-2.195121951219512,1.3389999866485596,stop_loss
BTC,btc-updown-15m-1775097000,run1_btc_hedge_orderbook.csv,up,resolved,1775097804.108,1775097804.108,1775097808.349,805.0,95.0,0.66,0.125,0.125,0.13,0.145,0.075,0.07,0.05499999999999999,40.0,-2.4,4.240999937057495,stop_loss
BTC,btc-updown-15m-1775097000,run1_btc_hedge_orderbook.csv,up,resolved,1775097808.35,1775097808.35,1775097831.871,809.0,91.0,0.415,0.075,0.075,0.08,0.095,0.02,0.01,0.01,66.66666666666667,-4.666666666666668,23.521000146865845,stop_loss
BTC,btc-updown-15m-1775098800,run1_btc_hedge_orderbook.csv,up,resolved,1775099430.736,1775099430.736,1775099442.054,631.0,269.0,0.815,0.51,0.51,0.52,0.53,0.46,0.44,0.44,9.803921568627452,-0.7843137254901963,11.317999839782715,stop_loss
